tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2020-8888,Atp Cup,Hard,24,A,20200106,300,104925,,,Novak Djokovic,R,188,SRB,32.6269678303,104745,,,Rafael Nadal,L,185,ESP,33.5934291581,6-2 7-6(4),3,F,115,12,2,64,49,41,9,10,5,5,5,3,70,51,39,6,10,6,8,2,9055,1,9985
2020-8888,Atp Cup,Hard,24,A,20200106,299,105138,,,Roberto Bautista Agut,R,183,ESP,31.7289527721,105583,,,Dusan Lajovic,R,180,SRB,29.5195071869,7-5 6-1,3,F,97,2,1,59,44,29,10,10,3,5,2,1,57,35,21,6,9,5,10,10,2335,34,1251
2020-8888,Atp Cup,Hard,24,A,20200106,298,104925,,,Novak Djokovic,R,188,SRB,32.6269678303,106421,,,Daniil Medvedev,R,198,RUS,23.9014373717,6-1 5-7 6-4,3,SF,167,4,5,111,75,53,16,15,8,11,6,5,108,57,35,25,14,6,11,2,9055,5,5705
2020-8888,Atp Cup,Hard,24,A,20200106,297,105583,,,Dusan Lajovic,R,180,SRB,29.5195071869,111575,,,Karen Khachanov,R,198,RUS,23.627652293,7-5 7-6(1),3,SF,108,1,1,67,48,38,14,12,0,0,9,3,79,54,39,14,12,0,1,34,1251,17,1840
2020-8888,Atp Cup,Hard,24,A,20200106,296,104745,,,Rafael Nadal,L,185,ESP,33.5934291581,200282,,,Alex De Minaur,R,183,AUS,20.8843258042,4-6 7-5 6-1,3,SF,133,5,3,84,61,48,10,15,1,3,6,1,75,55,37,10,14,1,5,1,9985,18,1775
2020-8888,Atp Cup,Hard,24,A,20200106,295,105138,,,Roberto Bautista Agut,R,183,ESP,31.7289527721,106401,,,Nick Kyrgios,R,193,AUS,24.6954140999,6-1 6-4,3,SF,81,4,0,57,44,35,7,9,1,1,13,1,55,38,22,8,8,4,7,10,2335,29,1375
2020-7485,Antwerp,Hard,32,A,20201019,123,105683,5,,Milos Raonic,R,196,CAN,29.8124572211,105379,,,Aljaz Bedene,R,181,SLO,31.2553045859,6-3 7-6(4),3,R32,85,17,1,61,44,40,10,11,2,2,11,5,66,36,31,14,10,3,4,19,2220,52,1045
2020-7485,Antwerp,Hard,32,A,20201019,124,126207,,,Frances Tiafoe,R,188,USA,22.7460643395,105583,6,,Dusan Lajovic,R,180,SRB,30.3052703628,6-3 7-6(6),3,R32,81,4,0,58,36,30,14,10,2,3,4,3,79,52,34,15,11,3,6,63,950,25,1785
2020-7485,Antwerp,Hard,32,A,20201019,125,105554,,,Daniel Evans,R,175,GBR,30.4093086927,106099,,Q,Salvatore Caruso,R,185,ITA,27.8439425051,6-2 3-6 6-3,3,R32,115,9,2,70,47,36,14,13,1,3,4,1,77,43,31,14,13,3,7,35,1384,79,802
2020-7485,Antwerp,Hard,32,A,20201019,126,200267,,WC,Zizou Bergs,R,,BEL,21.3798767967,105077,,,Albert Ramos,L,188,ESP,32.7556468172,7-5 7-5,3,R32,102,7,2,77,54,33,13,12,6,9,1,3,66,45,27,10,12,4,9,528,58,45,1165
2020-7485,Antwerp,Hard,32,A,20201019,128,126203,7,,Taylor Fritz,R,193,USA,22.9760438056,124187,,,Reilly Opelka,R,211,USA,23.1430527036,7-6(5) 6-1,3,R32,67,10,1,59,44,39,6,10,0,0,19,3,58,37,30,5,9,3,5,28,1670,33,1402
2020-7485,Antwerp,Hard,32,A,20201019,129,144750,,Q,Lloyd Harris,R,193,RSA,23.6495550992,144895,,,Corentin Moutet,L,178,FRA,21.5030800821,7-5 6-2,3,R32,84,7,2,49,33,28,11,10,1,2,0,2,62,45,29,5,10,7,11,90,748,74,838
2020-7485,Antwerp,Hard,32,A,20201019,130,200005,,,Ugo Humbert,L,188,FRA,22.3162217659,106293,,WC,Kimmer Coppejans,R,,BEL,26.6967830253,6-4 6-3,3,R32,73,3,2,53,26,24,17,10,3,3,2,0,49,32,26,7,9,2,4,38,1306,172,353
